83 0d 0f 08 0f 0f 03 0f 0b 02 09 01 00 08 00 03 02 0c 02 0b 0f 05 08 00 06 00 08 0e 0f 04 0a 04 01 3680 3780 3400 3780 3780 0000 3780 3580 0000 3480 0000 0000 3400 0000 0000 0000 3600 0000 3580 3780 0000 3400 0000 0000 0000 3400 3700 3780 0000 3500 0000 0000
d5 0b 02 01 0e 08 00 05 01 02 08 02 07 0e 0c 00 02 00 0e 0b 0d 08 00 0b 04 02 05 03 0a 0b 03 0b 0d 7bff 0000 0000 7bff 7bff 0000 0000 0000 0000 7bff 0000 0000 7bff 7bff 0000 0000 0000 7bff 7bff 7bff 7bff 0000 7bff 0000 0000 0000 0000 7bff 7bff 0000 7bff 7bff
c4 04 02 06 0e 0a 00 09 0a 06 0c 00 03 06 00 03 00 08 04 08 00 04 0c 06 0b 08 04 08 03 06 0b 03 0f 0000 0000 0000 7bff 7bff 0000 7bff 7bff 0000 7bff 0000 0000 0000 0000 0000 0000 7bff 0000 7bff 0000 0000 7bff 0000 7bff 7bff 0000 7bff 0000 0000 7bff 0000 7bff
60 05 03 0f 0e 07 09 09 0f 02 09 02 00 07 0d 0c 03 02 02 0d 00 0d 08 07 08 0b 01 0c 04 00 07 09 0b 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
fa 0d 0e 0e 06 0f 02 03 01 0e 04 03 0d 03 06 02 0f 09 08 02 07 0a 0f 09 0f 04 0b 0f 0d 0d 0d 02 0f 7bff 7bff 7bff 0000 7bff 0000 0000 0000 7bff 0000 0000 7bff 0000 0000 0000 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff
49 05 0c 04 0f 0c 02 0c 0f 03 05 0d 0f 09 08 00 0a 03 04 0c 0c 0b 0b 0c 0c 0b 0d 05 04 0d 0e 07 02 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
17 04 03 0e 02 07 0f 06 0f 03 0a 05 00 03 03 03 0b 0c 07 01 0e 06 0c 03 08 06 00 03 05 01 06 06 05 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
19 09 09 0a 04 08 07 00 0a 0b 0b 0f 06 0f 05 0c 04 07 0a 0f 04 08 02 0d 0d 0b 0e 09 03 01 0b 09 07 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
36 0a 02 04 00 03 05 0f 0d 09 01 02 0f 09 02 07 0f 0a 04 0f 08 00 06 0f 01 0e 02 03 06 05 07 0f 03 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0f 08 0d 03 0d 00 02 08 06 02 01 0d 00 02 08 03 09 07 08 08 03 0a 0b 08 0a 09 0c 07 0e 04 05 0c 0d 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
12 0e 09 05 02 0f 0f 0c 08 0b 05 0a 0e 0a 0b 0b 04 03 03 0d 01 03 05 0d 08 09 06 04 08 08 0e 09 08 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
15 0b 0e 08 0a 07 07 0c 0b 07 03 00 05 0d 02 0b 0a 0d 0e 0b 02 00 01 0e 0f 0a 0f 07 06 05 0a 0a 0b 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
d8 0b 04 0d 01 09 01 0f 0b 04 0d 09 0c 0f 0a 0b 08 09 0c 05 06 0d 00 0e 09 0a 04 0d 0b 04 00 03 0e 7bff 0000 7bff 0000 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 0000 0000 0000 7bff
a3 0e 0c 0b 0d 0d 0d 00 0c 07 0c 0b 0c 03 05 06 02 01 0d 01 07 09 0a 08 0a 0f 0d 03 08 01 01 0c 05 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 7bff 7bff 0000 0000 0000 0000 0000 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 0000 0000 7bff 0000
bc 02 0d 0f 08 0a 0c 03 03 04 08 07 07 01 0e 0f 01 0d 08 0e 07 0f 0e 0c 04 0a 0d 0d 07 04 03 09 09 0000 7bff 7bff 7bff 7bff 7bff 0000 0000 0000 7bff 0000 0000 0000 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 0000 0000 7bff 7bff
26 0b 0c 00 03 04 07 06 07 02 02 01 0a 03 09 0f 0f 04 0a 02 0f 0b 03 0e 03 0d 04 05 06 03 02 0a 0f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
61 08 07 0e 07 0f 0e 0f 08 0c 07 02 08 08 02 0c 06 08 0b 0c 09 04 06 0f 01 06 05 0d 0d 09 0d 0c 0f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
2c 0e 0c 0e 03 0c 07 0b 0b 03 09 00 01 02 0e 05 07 0e 09 04 00 0b 0f 04 0c 0d 04 0b 0b 08 06 00 0d 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
fd 04 06 04 07 0e 0b 05 0c 05 06 0a 00 09 0e 0d 09 04 06 0b 02 0c 0e 0b 09 03 0b 00 0c 0c 06 09 03 0000 0000 0000 0000 7bff 7bff 0000 7bff 0000 0000 7bff 0000 7bff 7bff 7bff 7bff 0000 0000 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 7bff 0000 7bff 0000
86 07 02 06 0d 0b 0a 0e 08 03 0d 0a 0a 07 07 07 05 03 0a 02 08 06 03 09 0f 0c 0b 0c 08 05 06 06 09 0000 0000 0000 4280 4180 4100 4300 4000 0000 4280 4100 4100 0000 0000 0000 0000 0000 4100 0000 4000 0000 0000 4080 4380 4200 4180 4200 4000 0000 0000 0000 4080
d6 0b 03 09 00 0d 0d 05 0c 0f 02 0b 0d 0a 01 0c 0a 0a 06 05 0b 06 0a 00 01 0d 0f 0a 00 01 06 0a 08 7bff 0000 7bff 0000 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 0000 7bff 0000 7bff 0000 0000 7bff 7bff 7bff 0000 0000 0000 7bff 7bff
21 09 0f 0d 03 0c 07 03 02 08 06 03 0e 00 03 08 0c 0b 0d 0e 0c 04 0e 00 06 0a 0b 0e 0c 07 07 07 09 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
f7 05 08 0f 0d 0c 02 00 0a 0f 00 04 01 0f 05 0e 04 02 0e 03 07 04 07 0d 02 0d 0c 0b 04 03 01 01 06 0000 7bff 7bff 7bff 7bff 0000 0000 7bff 7bff 0000 0000 0000 7bff 0000 7bff 0000 0000 7bff 0000 0000 0000 0000 7bff 0000 7bff 7bff 7bff 0000 0000 0000 0000 0000
f5 0d 03 0e 06 03 0a 0f 04 09 00 08 03 04 0b 00 07 04 01 03 0a 06 00 0e 0c 0a 00 00 0a 0f 0d 0d 04 7bff 0000 7bff 0000 0000 7bff 7bff 0000 7bff 0000 7bff 0000 0000 7bff 0000 0000 0000 0000 0000 7bff 0000 0000 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 0000
2a 08 09 09 02 0b 0f 08 0d 0b 0b 03 09 05 06 01 0d 02 06 0b 05 09 0a 07 0e 03 0b 05 03 0f 04 0f 01 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
2f 06 0c 05 05 00 05 08 0b 0d 09 07 0a 0a 06 06 04 06 08 03 09 06 0b 04 05 03 00 06 0d 0a 0c 09 02 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
63 02 03 0d 0b 02 06 09 07 0f 06 04 01 0b 0f 07 0d 0d 03 06 0b 0c 0f 0a 03 04 0a 00 0e 05 00 03 02 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
89 02 07 0c 0a 04 0e 02 05 02 0a 04 0b 04 09 0d 03 0a 01 03 07 04 01 00 04 02 00 00 04 00 08 00 03 0000 0000 4e00 4d00 0000 4f00 0000 0000 0000 4d00 0000 4d80 0000 4c80 4e80 0000 4d00 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 4c00 0000 0000
29 0b 02 03 09 00 09 0a 0e 01 0f 0a 0e 03 0e 0c 03 07 0b 06 0b 04 0d 07 02 0a 0b 02 0f 07 02 08 07 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
a0 00 03 02 0b 0f 02 0a 0c 08 0d 0d 02 0b 09 00 0c 04 06 08 08 03 08 07 06 08 01 0a 0b 06 0e 0b 09 0000 0000 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 0000 0000 7bff 7bff 0000 7bff 0000 0000 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff
1e 00 08 06 0e 07 0f 01 09 05 0d 02 03 0b 01 0f 04 0e 0f 0a 02 09 09 06 0e 04 04 07 0c 05 02 0b 02 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
