8b 08 36 07 38 1d 26 18 26 3d 05 04 18 3c 35 03 2b 1f 0a 07 11 0a 16 1e 3c 06 2d 05 3f 34 11 2e 2a 5400 6b00 0000 6c00 5e80 6300 5c00 6300 6e80 0000 0000 5c00 6e00 6a80 0000 6580 5f80 5500 0000 5880 5500 5b00 5f00 6e00 0000 6680 0000 6f80 6a00 5880 6700 6500
8b 12 06 39 2d 06 0f 38 08 31 0a 3f 2d 1d 12 32 19 3b 1a 18 13 06 2b 13 26 36 13 2c 06 32 1d 05 18 5900 0000 6c80 6680 0000 5780 6c00 5400 6880 5500 6f80 6680 5e80 5900 6900 5c80 6d80 5d00 5c00 5980 0000 6580 5980 6300 6b00 5980 6600 0000 6900 5e80 0000 5c00
ed 37 30 22 12 0d 07 35 26 25 17 29 36 20 21 11 06 03 0e 31 34 15 38 2a 39 17 14 2c 1d 3f 03 0d 2e 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff
ec 36 08 1d 35 38 04 21 1c 22 3d 29 06 29 04 2c 02 02 14 3b 36 0b 18 27 0d 08 11 11 3a 1d 07 25 3a 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff
55 33 3a 25 39 3d 23 37 20 1e 27 02 32 18 2f 1d 28 09 08 1f 3a 08 32 3a 22 15 0d 3f 26 11 1b 36 21 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1f 32 11 08 28 1b 15 24 15 34 2f 32 32 23 3c 19 08 07 11 37 13 18 11 0a 2f 3a 13 04 06 0a 11 10 0d 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
06 15 0f 19 1b 2a 3a 1c 03 17 36 2f 06 03 33 28 15 0f 3c 21 24 07 2d 3e 00 05 07 2d 34 05 0c 01 15 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
4e 19 32 36 36 24 30 12 04 1d 1c 11 3a 16 35 1b 1e 01 0d 2b 0c 04 3b 37 2d 20 33 27 12 28 1a 2d 16 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
3f 14 32 26 19 38 13 18 36 1b 0f 23 2c 1e 3d 0b 33 0c 29 31 31 0a 26 3b 39 29 29 22 1b 1a 29 36 3d 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
d0 2c 1a 0f 0e 3c 1b 11 34 3a 28 0d 0c 03 29 23 20 10 12 1e 02 3b 1e 11 24 05 29 3e 14 25 3e 32 3f 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff
82 3d 2a 3e 3e 0e 09 2b 02 3d 30 15 27 01 37 0a 1e 06 35 2d 36 37 32 01 36 30 3d 0a 1a 31 3a 24 22 4a80 4100 4b00 4b00 3300 3080 4180 0000 4a80 4400 3680 3f80 0000 4780 3100 3b00 0000 4680 4280 4700 4780 4500 0000 4700 4400 4a80 3100 3900 4480 4900 3e00 3d00
a1 05 3d 07 13 36 03 1b 2d 1d 1d 2b 20 2d 2e 04 36 0f 09 27 01 37 0b 1b 28 36 0e 08 38 3b 16 37 04 0000 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000
8b 1f 03 0a 02 0c 38 31 14 3e 39 0a 0d 1d 2d 11 06 2b 29 2f 35 28 36 3e 1b 21 23 23 22 1e 0f 07 35 5f80 0000 5500 0000 5600 6c00 6880 5a00 6f00 6c80 5500 5680 5e80 6680 5880 0000 6580 6480 6780 6a80 6400 6b00 6f00 5d80 6080 6180 6180 6100 5f00 5780 0000 6a80
23 31 3e 04 14 22 24 26 3e 19 01 30 20 14 05 3f 1b 31 15 12 0f 25 0c 17 28 2f 16 31 34 0a 37 03 11 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
07 06 25 3a 30 08 3f 1c 05 0c 2a 19 1a 2e 07 2a 03 30 33 3f 1e 3c 31 2a 20 1c 2e 13 3b 0e 0e 19 2e 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
10 18 20 28 35 04 0b 31 1b 14 32 12 1f 28 16 39 17 07 18 15 10 12 08 2b 34 07 23 2f 1c 22 2e 0a 39 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
80 1b 2e 0e 38 19 38 3e 15 32 30 36 05 2f 2c 28 27 00 36 1e 0d 13 11 0a 25 1e 2c 1b 20 3b 20 1e 00 3180 3b00 2b00 4000 3080 4000 4300 2e80 3d00 3c00 3f00 0000 3b80 3a00 3800 3780 0000 3f00 3300 2a80 2d80 2c80 2900 3680 3300 3a00 3180 3400 4180 3400 3300 0000
70 0e 1b 2d 1a 0c 23 09 3f 02 08 2f 03 26 00 2d 2a 0f 33 2e 28 38 09 17 13 08 0b 2c 06 25 18 26 1c 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
eb 0b 17 38 21 30 13 28 0f 29 28 08 08 1d 04 00 2d 12 0b 3d 2a 35 02 3d 25 1c 23 14 3b 08 31 01 1a 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff
9b 25 3d 02 29 1b 16 14 03 3e 03 39 2d 3f 27 08 22 14 23 11 02 3f 32 0d 29 08 3d 25 32 0f 1c 3a 23 7bff 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
9b 37 0e 23 21 2d 02 2c 3f 29 29 2e 3f 32 07 12 35 3b 3e 23 2f 16 0d 0d 35 30 10 39 28 2a 35 33 05 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000
a8 37 16 30 0d 35 31 1c 0a 0f 31 36 3e 15 04 27 1a 00 1b 3d 35 31 16 38 13 1c 2e 2a 33 2c 26 30 07 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000
9c 30 2b 1a 01 21 20 15 12 1d 3a 1b 13 25 0d 00 09 08 1e 13 3e 1b 08 12 2f 39 2a 3a 17 3e 0d 0a 1e 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
70 1d 1e 15 3e 2d 12 34 3e 37 29 05 0d 28 23 17 28 1b 35 03 36 04 30 02 1f 13 04 00 22 2a 17 19 37 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
f0 21 0a 0c 0e 22 20 07 17 36 19 35 34 1a 3a 06 02 19 32 38 25 07 0a 15 39 3c 3b 3e 2e 3d 1c 05 0f 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff
f3 23 22 32 3a 11 02 25 14 2e 38 18 24 1e 35 24 15 1e 29 1b 17 0d 0e 1a 07 11 1c 32 05 1b 36 3e 36 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff
fb 17 3e 15 07 3e 1b 06 07 09 3f 00 24 02 02 18 0f 3b 25 28 0a 3e 02 24 11 11 0a 04 08 1d 33 13 3c 7bff 7bff 7bff 0000 7bff 7bff 0000 0000 7bff 7bff 0000 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff
c0 3d 13 23 21 2f 31 36 21 3d 27 0d 38 03 36 19 06 01 09 23 0e 15 28 18 37 37 3e 03 12 23 36 08 03 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 0000
d9 38 01 20 2e 3a 04 1b 2f 27 0c 1a 33 0e 2a 1c 36 05 21 30 04 16 31 1e 2b 17 01 24 04 2f 07 18 0b 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 0000 7bff 7bff
f5 1c 2a 13 13 07 1e 00 3a 34 20 12 3e 25 07 32 1b 02 0e 1b 0b 1b 0d 06 0a 36 15 36 17 1c 3a 1b 03 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000
5b 24 13 3c 19 02 37 3e 35 2a 07 2a 2e 00 16 0c 18 2c 10 27 1a 32 24 15 03 00 13 26 2b 05 05 3e 33 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
82 2e 0b 19 39 1a 20 34 29 2f 0b 1d 35 09 10 28 19 2b 29 36 17 30 09 0a 3a 20 00 39 22 02 3a 22 2c 4300 3180 3880 4880 3900 3c00 4600 4080 4380 3180 3a80 4680 3080 3400 4000 3880 4180 4080 4700 3780 4400 3080 3100 4900 3c00 0000 4880 3d00 0000 4900 3d00 4200
b5 2a 0a 0d 0a 05 19 2d 2c 3b 1f 2d 14 02 00 32 1a 27 3c 1f 01 30 1b 36 25 39 10 15 2c 20 02 2f 13 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff
06 02 1c 3e 2a 0d 08 39 3a 1a 2a 1a 07 02 17 04 02 3f 16 24 26 0c 2b 2c 13 25 2d 3e 3c 39 11 0c 27 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
7c 22 3c 1b 0e 1a 19 1a 10 38 10 36 3b 34 11 21 2f 10 22 1b 02 1f 0f 29 23 26 3a 39 1e 2a 30 2e 0f 2500 3200 2180 1b00 2100 2080 2100 1c00 3000 1c00 2f00 3180 2e00 1c80 2480 2b80 1c00 2500 2180 0000 2380 1b80 2880 2580 2700 3100 3080 2300 2900 2c00 2b00 1b80
e9 28 05 18 38 3b 17 24 0b 3e 17 34 07 18 2d 02 31 05 13 3b 02 2a 13 33 10 3c 09 3b 10 2b 21 12 16 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
06 3b 22 1e 29 3b 0d 32 00 14 02 33 14 23 13 0a 33 3c 08 21 2d 38 27 04 04 3c 00 2a 30 29 2c 25 1b 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
c3 04 0c 31 0e 30 06 12 2d 03 0b 2e 2d 0c 1f 19 2d 16 32 16 25 2e 05 1c 35 2c 2d 29 27 24 19 18 31 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
c4 2c 15 00 21 3f 37 06 3e 26 22 05 02 10 09 0e 3a 39 21 3c 0c 21 05 03 37 12 25 0a 39 35 26 3e 18 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
35 16 0a 1a 2d 34 3a 01 13 0d 09 24 1f 27 19 33 18 24 1f 37 37 20 10 11 02 35 12 3c 08 02 28 1d 2b 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
52 00 20 18 38 19 39 01 21 17 37 08 0f 3d 33 1a 29 01 1e 38 3a 1f 0a 0a 1a 1a 03 30 00 0d 3b 18 05 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
